input|target|label|3
jose de mello|di bello|FALSE|LATIN
abdoulaye diagne-faye|abdoulaye diagne faye|TRUE|LATIN
laura kong|laure heinich luijer|FALSE|LATIN
dmitry kiva|dmitrij ulanow|FALSE|LATIN
abdulahi yusuf ahmed|abdul nur|FALSE|LATIN
brian coquard|bryan coquard|TRUE|LATIN
laszlo kovacz|lazslo kovacs|TRUE|LATIN
adel al djoubeir|djouma narkoyo|FALSE|LATIN
ali akbar haschemi rafsandschani|mehdi hashemi rafsanjani|TRUE|LATIN
hans gert poterring|gert ehn|FALSE|LATIN
abdu mane|abdul basir salangi|FALSE|LATIN
brian fry|florian henckel|FALSE|LATIN
nicolas pareja|nicolas pareja|TRUE|LATIN
putin vladimir|vladimir kim|FALSE|LATIN
mangosuthu buthelezi|tim southee|FALSE|LATIN
joelija timosjenko|erik schjenken|FALSE|LATIN
seif al-islam|seifom al islamom|TRUE|LATIN
hans joerg butt|adam butt|FALSE|LATIN
mahmoud ahamdinajed|mahmud ahmadinezada|TRUE|LATIN
louis de guindos|luisa de guindosa|FALSE|LATIN
jose luis ferreira|ana vieira|FALSE|LATIN
mohammed jawad khalifeh|mohammad jawad khalifa|TRUE|LATIN
rafael filizola|santi carzola|FALSE|LATIN
jean-celaude juncker|brian munck|FALSE|LATIN
alex barros|joe carrol|FALSE|LATIN
ahmed al-shibani|ahmed al ahmed|FALSE|LATIN
saifom al islamom|abu islam|FALSE|LATIN
rudi tarneden|renate tarnes|FALSE|LATIN
kirsty coventry|kirsty sword gusmao|FALSE|LATIN
ali sheikh|sheikh al tamimi|FALSE|LATIN
jean noel guerrini|mara cerri|FALSE|LATIN
maassouma al-mubarak|van paassen|FALSE|LATIN
manutscher mottaki|danuta kozak|FALSE|LATIN
robinson crusoe|roger vinson|FALSE|LATIN
abdulk kalam|sal kalay|FALSE|LATIN
andre vingt trois van tours|andre nel|FALSE|LATIN
phil gramm|arne gram|FALSE|LATIN
mahmud amedinejad|mahmoud ahmnadinejad|TRUE|LATIN
bud cramer|adam kramer|FALSE|LATIN
robin room|camille robinson regis|FALSE|LATIN
xavier mir|xavier-jean keita|FALSE|LATIN
abdallah bin abdel aziz|abdullah dari arab saudi|TRUE|LATIN
milan baros|piotr baron|FALSE|LATIN
de hoop schefferile|goede hoop|FALSE|LATIN
jurij lucenko|rene benko|FALSE|LATIN
stefania presstigiacomo|ketawi dafani|FALSE|LATIN
mahmud ali|mahmud el-maschhadani|FALSE|LATIN
osama al nujafi|oussama al noujaifi|TRUE|LATIN
mohammad askeri|immad hammad|FALSE|LATIN
joan ferran|gil de ferran|FALSE|LATIN
anna lena groenfeld|gerd schoenfelder|FALSE|LATIN
herve pavy|ashfaque pervez kayani|FALSE|LATIN
valid muallim|waled al muallim|TRUE|LATIN
yaser abd rabbo|yasser abd al-rabbo|TRUE|LATIN
viktoria plzen-fenerbahce|viktoria plzen fenerbahce|TRUE|LATIN
oleg schedrov|mohammed ben rached al-maktoum|FALSE|LATIN
manuscher muttaki|urs gasche|FALSE|LATIN
saadi al gaddafi|saadi el-qaddafi|TRUE|LATIN
dinara safina|einar raen|FALSE|LATIN
barbore zahlavove strycove|barbora zahlavova|FALSE|LATIN
horvath p gol|horvath benjamin|FALSE|LATIN
aleksandar vasoski|ali efendi peksak|FALSE|LATIN
sergei markov|sergei markov|TRUE|LATIN
arthur yap|arthur henriques|FALSE|LATIN
muuamar kadafi|muanmar gadafi|TRUE|LATIN
zulfuqar @li bhutto|zulfikar ali-bhutto|TRUE|LATIN
vinston cercil|ken boston|FALSE|LATIN
muammar el ghadhafi|muammar al-gadaffi|TRUE|LATIN
dmitry anatolyevich medvedev|dimitrija miedwiediewa|TRUE|LATIN
lester tenny|lester tenney|TRUE|LATIN
viktor yanukovytsj|viktor ianoukovitch|TRUE|LATIN
boris berezofski|boris berezovsky|TRUE|LATIN
benjamen netanyahu|mary keitany|FALSE|LATIN
eduardo zapalana|oleg balan|FALSE|LATIN
didier pineau-valencienne|etienne tete|FALSE|LATIN
javed sheema|aba neeman|FALSE|LATIN
abu mussab al zarqawi|al zarqawi|TRUE|LATIN
mohammed el ubaidi|mohammed al obaidi|TRUE|LATIN
yussef al kardawi|youssef al qaradawy|TRUE|LATIN
vera int|vera babun|FALSE|LATIN
arsne wenger|arsena wengerja|TRUE|LATIN
dan abrams|mahmud al-abrasch|FALSE|LATIN
carin hubinette|ole petter wie|FALSE|LATIN
wilfried achiel emma martens|ulf thiele|FALSE|LATIN
peer steinbruk|peer streinbruck|FALSE|LATIN
sheikh ali jarrah al sabah|san saba|FALSE|LATIN
mikhail borisovitj khodorkovskij|pavel khodorkovski|FALSE|LATIN
tom griffin|mike griffin|FALSE|LATIN
swietlane kuzniecowa|svetlana kusnetzova|TRUE|LATIN
rene simon|rene simon|TRUE|LATIN
karl-heinz rummenigg|karl mai|FALSE|LATIN
giorgos iakovou|giorgio olmi|FALSE|LATIN
van milletvekeli oezdal ucer|van milletvekili oezdal ucer|TRUE|LATIN
atiq rahimi|al hashimi|FALSE|LATIN
kostas panagopoulos|iannis panagopoulos|FALSE|LATIN
aymen al-zawahiri|eymen nur|FALSE|LATIN
ahmed al-chaibany|ahmed haj ali|FALSE|LATIN
omer al bechir|omar hassan al-bashir|TRUE|LATIN
aleksandr sizow|aleksandr sizov|TRUE|LATIN
gennadi iwanowitsch janajew|jerzy janowic|FALSE|LATIN
